DATE,DEULOCOSIORSTM
1960-01-01,2.14
1960-02-01,1.93
1960-03-01,1.69
1960-04-01,1.81
1960-05-01,1.76
1960-06-01,1.35
1960-07-01,1.12
1960-08-01,1.06
1960-09-01,0.89
1960-10-01,0.2
1960-11-01,0.82
1960-12-01,1.14
1961-01-01,1.44
1961-02-01,1.87
1961-03-01,2.17
1961-04-01,2.36
1961-05-01,2.37
1961-06-01,2.47
1961-07-01,2.54
1961-08-01,2.81
1961-09-01,2.94
1961-10-01,1.95
1961-11-01,2.29
1961-12-01,2.17
1962-01-01,2.97
1962-02-01,2.76
1962-03-01,2.58
1962-04-01,2.52
1962-05-01,2.72
1962-06-01,2.77
1962-07-01,2.61
1962-08-01,2.74
1962-09-01,2.8
1962-10-01,1.75
1962-11-01,1.87
1962-12-01,1.75
1963-01-01,2.71
1963-02-01,2.69
1963-03-01,2.47
1963-04-01,2.44
1963-05-01,2.5
1963-06-01,2.27
1963-07-01,2.12
1963-08-01,2.29
1963-09-01,2.35
1963-10-01,0.97
1963-11-01,1.0
1963-12-01,1.02
1964-01-01,2.57
1964-02-01,2.57
1964-03-01,2.54
1964-04-01,2.65
1964-05-01,2.61
1964-06-01,2.55
1964-07-01,2.61
1964-08-01,2.39
1964-09-01,2.32
1964-10-01,0.98
1964-11-01,0.9
1964-12-01,1.04
1965-01-01,2.52
1965-02-01,2.55
1965-03-01,2.22
1965-04-01,2.08
1965-05-01,2.21
1965-06-01,2.3
1965-07-01,2.12
1965-08-01,2.03
1965-09-01,2.04
1965-10-01,0.84
1965-11-01,0.92
1965-12-01,1.15
1966-01-01,2.37
1966-02-01,2.24
1966-03-01,2.01
1966-04-01,1.79
1966-05-01,1.85
1966-06-01,1.59
1966-07-01,1.71
1966-08-01,1.6
1966-09-01,1.7
1966-10-01,0.52
1966-11-01,0.469999999999999
1966-12-01,0.13
1967-01-01,1.81
1967-02-01,1.84
1967-03-01,2.16
1967-04-01,2.42
1967-05-01,3.21
1967-06-01,2.92
1967-07-01,3.39
1967-08-01,3.24
1967-09-01,3.27
1967-10-01,2.5
1967-11-01,2.8
1967-12-01,2.73
1968-01-01,3.38
1968-02-01,3.25
1968-03-01,3.18
1968-04-01,2.96
1968-05-01,2.72
1968-06-01,2.68
1968-07-01,2.81
1968-08-01,2.75
1968-09-01,2.76
1968-10-01,1.55
1968-11-01,1.8
1968-12-01,1.86
1969-01-01,2.43
1969-02-01,2.39
1969-03-01,2.19
1969-04-01,2.1
1969-05-01,2.12
1969-06-01,1.2
1969-07-01,1.12
1969-08-01,0.4
1969-09-01,0.26
1969-10-01,-0.0199999999999996
1969-11-01,-0.29
1969-12-01,-1.23
1970-01-01,-1.69
1970-02-01,-1.71
1970-03-01,-1.71
1970-04-01,-1.76
1970-05-01,-1.53
1970-06-01,-1.18
1970-07-01,-0.890000000000001
1970-08-01,-0.76
1970-09-01,-0.859999999999999
1970-10-01,-0.83
1970-11-01,-0.24
1970-12-01,0.0800000000000001
1971-01-01,0.2
1971-02-01,0.23
1971-03-01,0.44
1971-04-01,1.54
1971-05-01,1.84
1971-06-01,1.4
1971-07-01,0.64
1971-08-01,0.740000000000001
1971-09-01,0.51
1971-10-01,0.2
1971-11-01,1.11
1971-12-01,1.27
1972-01-01,2.41
1972-02-01,2.42
1972-03-01,2.6
1972-04-01,2.92
1972-05-01,3.09
1972-06-01,3.25
1972-07-01,3.35
1972-08-01,3.1
1972-09-01,2.58
1972-10-01,1.12
1972-11-01,0.33
1972-12-01,0.0
1973-01-01,0.71
1973-02-01,0.64
1973-03-01,-0.17
1973-04-01,-1.82
1973-05-01,-3.22
