DATE,MYAGM2DEM189S
1969-01-01,138800000000
1969-02-01,139700000000.000
1969-03-01,140500000000.000
1969-04-01,141400000000.000
1969-05-01,146300000000.000
1969-06-01,144700000000
1969-07-01,145700000000.000
1969-08-01,147100000000.000
1969-09-01,152000000000
1969-10-01,153100000000.000
1969-11-01,150300000000.000
1969-12-01,150400000000
1970-01-01,151500000000.000
1970-02-01,152400000000.000
1970-03-01,152200000000.000
1970-04-01,154200000000.000
1970-05-01,155500000000.000
1970-06-01,158700000000.000
1970-07-01,163400000000.000
1970-08-01,162700000000.000
1970-09-01,162300000000.000
1970-10-01,162800000000.000
1970-11-01,163700000000.000
1970-12-01,166100000000
1971-01-01,168900000000.000
1971-02-01,170700000000.000
1971-03-01,173800000000.000
1971-04-01,177800000000.000
1971-05-01,181400000000.000
1971-06-01,179700000000.000
1971-07-01,182100000000.000
1971-08-01,182000000000
1971-09-01,184200000000.000
1971-10-01,186400000000.000
1971-11-01,187000000000
1971-12-01,190000000000
1972-01-01,192600000000
1972-02-01,194600000000.000
1972-03-01,197300000000.000
1972-04-01,198200000000.000
1972-05-01,198500000000.000
1972-06-01,205400000000.000
1972-07-01,209900000000.000
1972-08-01,211300000000.000
1972-09-01,213500000000.000
1972-10-01,214100000000.000
1972-11-01,216700000000.000
1972-12-01,221400000000.000
1973-01-01,225600000000
1973-02-01,230200000000.000
1973-03-01,237200000000.000
1973-04-01,237800000000.000
1973-05-01,240500000000.000
1973-06-01,243000000000
1973-07-01,246000000000
1973-08-01,247900000000.000
1973-09-01,250600000000.000
1973-10-01,252000000000
1973-11-01,253400000000.000
1973-12-01,252600000000.000
1974-01-01,257600000000
1974-02-01,259600000000.000
1974-03-01,261400000000.000
1974-04-01,265900000000.000
1974-05-01,263900000000.000
1974-06-01,263800000000.000
1974-07-01,264200000000.000
1974-08-01,261800000000.000
1974-09-01,261500000000.000
1974-10-01,259800000000.000
1974-11-01,263000000000
1974-12-01,264400000000.000
1975-01-01,267300000000
1975-02-01,266600000000.000
1975-03-01,265700000000.000
1975-04-01,260600000000.000
1975-05-01,256000000000
1975-06-01,255300000000.000
