2022Sep,6.2,Provisional value (P),
2022Aug,6.3,Normal value (A),
2022Jul,5.9,Normal value (A),
2022Jun,5.9,Normal value (A),
2022May,6.0,Normal value (A),
2022Apr,6.3,Normal value (A),
2022Mar,6.6,Normal value (A),
2022Feb,6.8,Normal value (A),
2022Jan,6.8,Normal value (A),
2021Dec,7.0,Normal value (A),
2021Nov,7.1,Normal value (A),
2021Oct,7.5,Normal value (A),
2021Sep,7.6,Normal value (A),
2021Aug,7.8,Normal value (A),
2021Jul,7.6,Normal value (A),
2021Jun,8.3,Normal value (A),
2021May,8.4,Normal value (A),
2021Apr,9.2,Normal value (A),
2021Mar,10.2,Normal value (A),
2021Feb,12.1,Normal value (A),
2021Jan,12.2,Normal value (A),
2020Dec,11.7,Normal value (A),
2020Nov,10.8,Normal value (A),
2020Oct,10.4,Normal value (A),
2020Sep,10.3,Normal value (A),
2020Aug,9.6,Normal value (A),
2020Jul,10.1,Normal value (A),
2020Jun,9.3,Normal value (A),
2020May,9.1,Normal value (A),
2020Apr,8.3,Normal value (A),
2020Mar,7.4,Normal value (A),
2020Feb,5.7,Normal value (A),
2020Jan,5.6,Normal value (A),
2019Dec,5.7,Normal value (A),
2019Nov,6.0,Normal value (A),
2019Oct,6.0,Normal value (A),
2019Sep,6.0,Normal value (A),
2019Aug,6.2,Normal value (A),
2019Jul,5.5,Normal value (A),
2019Jun,5.0,Normal value (A),
2019May,5.3,Normal value (A),
2019Apr,5.4,Normal value (A),
2019Mar,5.1,Normal value (A),
2019Feb,4.5,Normal value (A),
2019Jan,4.1,Normal value (A),
2018Dec,4.4,Normal value (A),
2018Nov,4.3,Normal value (A),
2018Oct,4.3,Normal value (A),
2018Sep,4.2,Normal value (A),
2018Aug,4.0,Normal value (A),
2018Jul,4.4,Normal value (A),
2018Jun,4.7,Normal value (A),
2018May,4.6,Normal value (A),
2018Apr,4.2,Normal value (A),
2018Mar,4.3,Normal value (A),
2018Feb,4.8,Normal value (A),
2018Jan,5.2,Normal value (A),
2017Dec,5.2,Normal value (A),
2017Nov,5.2,Normal value (A),
2017Oct,5.4,Normal value (A),
2017Sep,5.2,Normal value (A),
2017Aug,5.3,Normal value (A),
2017Jul,5.0,Normal value (A),
2017Jun,5.3,Normal value (A),
2017May,5.0,Normal value (A),
2017Apr,5.1,Normal value (A),
2017Mar,5.1,Normal value (A),
2017Feb,4.7,Normal value (A),
2017Jan,4.8,Normal value (A),
2016Dec,4.8,Normal value (A),
2016Nov,4.8,Normal value (A),
2016Oct,4.7,Normal value (A),
2016Sep,5.0,Normal value (A),
2016Aug,5.0,Normal value (A),
2016Jul,5.0,Normal value (A),
2016Jun,5.0,Normal value (A),
2016May,5.1,Normal value (A),
2016Apr,5.2,Normal value (A),
