;Produktion im Produzierenden Gewerbe / Deutschland / Bergbau und Gewinnung von Steinen und Erden sowie Verarbeitendes Gewerbe (B + C) / Ursprungswerte;
1950-01;10,4;
1950-02;10,0;
1950-03;11,6;
1950-04;10,6;
1950-05;11,5;
1950-06;12,1;
1950-07;12,5;
1950-08;13,5;
1950-09;14,0;
1950-10;15,0;
1950-11;15,0;
1950-12;13,5;
1951-01;13,8;
1951-02;13,4;
1951-03;14,3;
1951-04;14,6;
1951-05;14,2;
1951-06;15,1;
1951-07;14,6;
1951-08;15,1;
1951-09;14,6;
1951-10;16,5;
1951-11;16,3;
1951-12;14,4;
1952-01;15,0;
1952-02;14,4;
1952-03;15,3;
1952-04;14,5;
1952-05;15,3;
1952-06;14,5;
1952-07;15,8;
1952-08;15,5;
1952-09;16,9;
1952-10;18,3;
1952-11;17,0;
1952-12;16,3;
1953-01;15,5;
1953-02;14,5;
1953-03;16,9;
1953-04;16,3;
1953-05;15,6;
1953-06;17,5;
1953-07;17,8;
1953-08;17,2;
1953-09;18,7;
1953-10;20,1;
1953-11;19,0;
1953-12;18,6;
1954-01;16,5;
1954-02;16,3;
1954-03;19,0;
1954-04;17,9;
1954-05;18,5;
1954-06;18,6;
1954-07;19,8;
1954-08;19,2;
1954-09;20,8;
1954-10;21,6;
1954-11;21,7;
1954-12;21,7;
1955-01;19,5;
1955-02;19,1;
1955-03;22,1;
1955-04;20,6;
1955-05;21,5;
1955-06;21,7;
1955-07;22,1;
1955-08;22,9;
1955-09;24,0;
1955-10;24,6;
1955-11;24,5;
1955-12;24,4;
1956-01;22,7;
1956-02;21,4;
1956-03;23,4;
1956-04;23,1;
1956-05;23,1;
1956-06;24,6;
1956-07;24,0;
1956-08;24,5;
1956-09;24,6;
1956-10;26,7;
1956-11;25,8;
1956-12;23,4;
1957-01;24,1;
1957-02;23,1;
1957-03;24,9;
1957-04;24,6;
1957-05;26,0;
1957-06;23,0;
1957-07;25,6;
1957-08;25,4;
1957-09;25,7;
1957-10;28,4;
1957-11;27,0;
1957-12;24,9;
1958-01;25,2;
1958-02;23,6;
1958-03;26,0;
1958-04;25,4;
1958-05;24,9;
1958-06;24,7;
1958-07;26,8;
1958-08;25,2;
1958-09;27,4;
1958-10;29,4;
1958-11;26,8;
1958-12;26,4;
1959-01;24,9;
1959-02;24,2;
1959-03;25,9;
1959-04;28,4;
1959-05;25,4;
1959-06;28,1;
1959-07;28,3;
1959-08;27,3;
1959-09;30,3;
1959-10;32,2;
1959-11;30,6;
1959-12;30,4;
1960-01;27,5;
1960-02;28,6;
1960-03;32,4;
1960-04;29,4;
1960-05;31,6;
1960-06;29,9;
1960-07;30,4;
1960-08;31,3;
1960-09;33,5;
1960-10;33,8;
1960-11;34,2;
1960-12;33,7;
1961-01;31,8;
1961-02;30,6;
1961-03;35,3;
1961-04;31,8;
1961-05;32,6;
1961-06;33,4;
1961-07;31,8;
1961-08;33,1;
1961-09;34,3;
1961-10;35,9;
1961-11;35,3;
1961-12;32,3;
1962-01;33,1;
1962-02;31,6;
1962-03;34,9;
1962-04;32,4;
1962-05;35,4;
1962-06;33,4;
1962-07;33,8;
1962-08;34,4;
1962-09;35,4;
1962-10;38,9;
1962-11;37,3;
1962-12;32,5;
1963-01;33,2;
1963-02;31,3;
1963-03;35,4;
1963-04;35,1;
1963-05;36,5;
1963-06;32,4;
1963-07;36,2;
1963-08;34,4;
1963-09;37,2;
1963-10;41,1;
1963-11;38,1;
1963-12;34,6;
1964-01;36,0;
1964-02;35,4;
1964-03;37,0;
1964-04;39,7;
1964-05;35,0;
1964-06;39,2;
1964-07;39,4;
1964-08;35,3;
1964-09;41,1;
1964-10;43,0;
1964-11;41,4;
1964-12;40,3;
1965-01;36,9;
1965-02;37,6;
1965-03;42,5;
1965-04;40,2;
1965-05;40,6;
1965-06;40,2;
1965-07;39,4;
1965-08;38,0;
1965-09;43,4;
1965-10;43,4;
1965-11;42,9;
1965-12;42,9;
1966-01;38,3;
1966-02;38,1;
1966-03;45,0;
1966-04;40,2;
1966-05;41,4;
1966-06;42,0;
1966-07;39,4;
1966-08;38,8;
1966-09;43,2;
1966-10;42,9;
1966-11;42,1;
1966-12;40,4;
1967-01;37,5;
1967-02;36,0;
1967-03;39,2;
1967-04;38,5;
1967-05;37,5;
1967-06;41,0;
1967-07;38,1;
1967-08;37,2;
1967-09;41,3;
1967-10;44,2;
1967-11;43,4;
1967-12;42,1;
1968-01;38,4;
1968-02;39,0;
1968-03;41,9;
1968-04;41,6;
1968-05;44,0;
1968-06;40,2;
1968-07;42,8;
1968-08;42,0;
1968-09;46,1;
1968-10;50,4;
1968-11;48,0;
1968-12;44,9;
1969-01;44,8;
1969-02;43,8;
1969-03;48,2;
1969-04;47,9;
1969-05;47,5;
1969-06;48,1;
1969-07;48,8;
1969-08;45,0;
1969-09;52,3;
1969-10;56,3;
1969-11;52,3;
1969-12;50,0;
1970-01;47,2;
1970-02;48,2;
1970-03;51,3;
1970-04;55,1;
1970-05;49,3;
1970-06;53,7;
1970-07;52,5;
1970-08;46,6;
1970-09;54,4;
1970-10;56,4;
1970-11;54,2;
1970-12;52,8;
1971-01;48,2;
1971-02;49,4;
1971-03;56,4;
1971-04;53,0;
1971-05;51,3;
